,id,date,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,condition,grade,yr_built,zipcode,lat,long,price,was_renovated_post90,has_basement,viewed,sale_month
4204,4442800008,2014-09-26,3,2,1340,1480,3.0,0.0,3,8,1975_to_1997,98117,47.6904,-122.39299999999999,369000.0,0,0,0,9
11102,475000004,2014-07-07,2,2,1130,746,2.0,0.0,3,8,1997_to_2015,98107,47.6684,-122.363,536000.0,0,1,0,7
15557,4083800345,2015-04-27,4,2,1890,4300,1.5,0.0,3,7,pre1950,98103,47.6649,-122.337,620000.0,0,1,0,4
1547,8816400885,2014-10-08,4,2,1640,1480,1.0,0.0,4,7,pre1950,98105,47.6684,-122.314,450000.0,0,1,0,10
17124,5249803745,2014-05-29,2,1,810,4800,1.0,0.0,3,6,pre1950,98118,47.5614,-122.27,367500.0,0,0,0,5
2584,3990200125,2014-07-11,3,2,1860,7400,1.0,0.0,3,8,pre1950,98166,47.4598,-122.352,385000.0,1,0,0,7
11537,9407600070,2015-03-19,3,2,1310,6265,1.0,0.0,3,7,1975_to_1997,98038,47.3893,-122.051,290000.0,0,0,0,3
19401,1865820300,2015-03-11,3,1,1120,8342,1.0,0.0,4,7,1975_to_1997,98042,47.3732,-122.116,205000.0,0,0,0,3
20041,126039256,2014-09-04,3,2,1520,5040,2.0,0.0,3,7,1975_to_1997,98177,47.777,-122.36200000000001,434900.0,1,0,0,9
8432,6632300230,2014-10-06,3,2,1370,7200,1.0,0.0,3,7,pre1950,98125,47.7329,-122.30799999999999,377500.0,0,1,0,10
9295,1018000110,2015-04-23,4,3,2300,7609,2.0,0.0,4,7,1975_to_1997,98002,47.2943,-122.227,224000.0,0,0,0,4
1818,414100295,2014-06-23,2,1,1180,6552,1.0,0.0,4,6,pre1950,98133,47.7477,-122.34200000000001,275000.0,0,0,0,6
9483,3995700220,2015-03-17,3,1,1380,8147,1.0,0.0,4,7,pre1950,98155,47.7407,-122.3,380000.0,0,0,0,3
17293,7518501025,2015-03-27,3,2,1970,5100,1.0,0.0,3,7,pre1950,98117,47.6831,-122.37899999999999,580000.0,0,1,0,3
7479,3275800050,2014-10-22,3,2,1640,8922,1.0,0.0,4,7,1950_to_1975,98146,47.495,-122.34200000000001,242000.0,0,0,0,10
353,3363900111,2014-12-03,2,1,990,3120,1.0,0.0,5,7,pre1950,98103,47.68,-122.353,437500.0,0,1,1,12
11614,6817801040,2014-08-21,2,1,1280,12086,1.0,0.0,3,7,1975_to_1997,98074,47.63399999999999,-122.03299999999999,440000.0,0,1,0,8
20452,8691440410,2014-12-15,4,4,3860,6543,2.0,0.0,3,10,1997_to_2015,98075,47.5934,-121.97399999999999,900000.0,0,0,0,12
1082,9828202545,2015-01-27,3,2,1970,3400,1.5,0.0,4,8,pre1950,98122,47.6163,-122.292,490000.0,0,1,0,1
17243,9348700480,2014-07-15,4,2,3290,8147,2.0,0.0,3,10,1997_to_2015,98052,47.7048,-122.10700000000001,856500.0,0,0,0,7
13901,4046500180,2014-07-24,3,2,1730,15003,1.0,0.0,3,7,1975_to_1997,98014,47.6923,-121.92,335000.0,0,1,0,7
4899,9407150130,2014-12-01,4,2,1980,7264,2.0,0.0,3,7,1975_to_1997,98038,47.3678,-122.01899999999999,240000.0,0,0,0,12
9630,1842200040,2014-07-01,3,2,1300,19163,1.0,0.0,3,7,1950_to_1975,98052,47.6686,-122.15299999999999,425000.0,0,0,0,7
5657,686900010,2014-05-28,5,2,2680,28014,1.0,0.0,4,8,1950_to_1975,98004,47.6348,-122.196,898000.0,0,1,0,5
19215,6664900410,2014-06-26,3,2,1900,8002,1.0,0.0,3,7,1975_to_1997,98023,47.2909,-122.352,252500.0,0,0,0,6
10809,4139700260,2014-11-17,5,4,3330,3705,2.0,0.0,3,9,1997_to_2015,98006,47.5567,-122.124,795000.0,0,1,0,11
3991,8100000110,2014-12-26,3,2,1350,7588,1.0,0.0,3,7,1975_to_1997,98010,47.3123,-122.023,241250.0,0,0,0,12
3447,6190701110,2015-04-20,3,2,1680,8460,1.0,0.0,3,7,1975_to_1997,98133,47.7554,-122.353,419600.0,0,1,0,4
6029,3279050130,2014-09-10,3,2,3310,21096,2.0,0.0,3,9,1997_to_2015,98023,47.3049,-122.38600000000001,419000.0,0,0,1,9
9008,3739500096,2015-05-05,3,2,1540,6000,1.0,0.0,4,6,1950_to_1975,98155,47.7372,-122.307,430000.0,0,0,0,5
18865,4345000090,2014-11-05,3,2,1360,5754,2.0,0.0,3,7,1975_to_1997,98030,47.3645,-122.18299999999999,239000.0,0,0,0,11
3021,6431500283,2014-11-17,3,1,1340,4120,1.0,0.0,4,7,pre1950,98103,47.6916,-122.352,409500.0,0,1,0,11
13643,7853310720,2014-06-17,3,3,2300,4637,2.0,0.0,3,8,1997_to_2015,98065,47.5216,-121.87799999999999,479500.0,0,0,0,6
335,5009600070,2014-10-07,4,2,1960,5238,2.0,0.0,3,7,1997_to_2015,98038,47.3483,-122.052,260000.0,0,0,0,10
5804,7129300420,2014-12-02,3,2,1040,5650,1.0,0.0,5,6,1950_to_1975,98178,47.5111,-122.256,258000.0,0,0,0,12
12423,1217000340,2015-02-19,3,1,1840,8100,1.0,0.0,4,7,1950_to_1975,98166,47.455,-122.35,340000.0,0,1,0,2
12884,6795100589,2014-10-10,3,2,2840,59677,1.0,0.0,3,7,1950_to_1975,98075,47.5828,-122.044,663000.0,0,1,0,10
6211,7686202275,2014-12-09,3,1,1210,8000,1.0,0.0,3,6,1950_to_1975,98198,47.4211,-122.314,219950.0,0,0,0,12
2564,3037200060,2014-09-26,3,2,1750,2150,2.5,0.0,3,7,pre1950,98122,47.6037,-122.311,499000.0,1,1,0,9
2918,4232400110,2014-11-11,5,2,1910,5640,2.0,0.0,4,9,pre1950,98112,47.6249,-122.311,1130000.0,0,0,0,11
10029,8914200060,2015-01-15,4,2,3390,10519,2.0,0.0,3,10,1975_to_1997,98003,47.332,-122.334,583000.0,0,0,1,1
15548,5042300095,2014-10-31,4,1,1870,4992,1.5,0.0,4,7,pre1950,98199,47.6437,-122.396,730000.0,0,1,0,10
4595,3592500866,2015-04-02,3,3,3150,5520,1.5,0.0,4,8,pre1950,98112,47.6345,-122.302,1210000.0,0,1,0,4
6876,5672000020,2014-08-05,3,2,1380,11760,1.0,0.0,4,7,1950_to_1975,98055,47.4243,-122.20200000000001,272000.0,0,0,0,8
5157,9320200050,2014-12-16,4,3,2930,25697,1.0,0.0,4,9,1950_to_1975,98004,47.6264,-122.226,1500000.0,0,1,0,12
7949,1402620120,2015-05-12,4,2,2410,7517,2.0,0.0,3,8,1975_to_1997,98058,47.4388,-122.14200000000001,440000.0,0,0,0,5
19213,3600600065,2014-08-20,3,2,1520,7200,1.0,0.0,4,7,1975_to_1997,98198,47.3855,-122.302,279950.0,0,1,0,8
5321,8691310380,2015-01-28,4,3,2830,10240,2.0,0.0,4,9,1997_to_2015,98075,47.5903,-121.986,774000.0,0,0,0,1
16036,8068000440,2014-12-26,3,2,1620,10000,1.5,0.0,5,6,pre1950,98178,47.5091,-122.262,399000.0,0,0,0,12
10880,9828200746,2015-05-04,2,2,1120,1024,2.0,0.0,3,8,1950_to_1975,98122,47.6175,-122.29799999999999,440000.0,1,0,0,5
6693,2121000250,2014-05-09,3,2,1060,10464,1.0,0.0,4,7,1950_to_1975,98034,47.7313,-122.229,303500.0,0,0,0,5
13632,1329500120,2015-01-09,4,2,2600,8572,2.0,0.0,3,8,1997_to_2015,98001,47.3155,-122.266,300000.0,0,0,0,1
15123,2926049376,2015-04-20,2,1,1060,10423,1.5,0.0,3,7,1950_to_1975,98125,47.705,-122.31299999999999,220000.0,0,0,0,4
11892,2776600002,2015-04-22,2,1,1120,6141,1.0,0.0,3,7,pre1950,98117,47.6924,-122.37200000000001,520000.0,0,1,0,4
13115,5710500230,2015-05-06,3,2,1900,9975,1.0,0.0,3,8,1950_to_1975,98027,47.5307,-122.054,545000.0,0,1,0,5
16947,5538300225,2014-05-13,4,2,2180,13529,1.0,0.0,3,7,1950_to_1975,98155,47.7516,-122.294,405000.0,0,1,0,5
8331,6902000100,2014-09-15,3,2,2420,65501,2.0,0.0,3,8,1975_to_1997,98074,47.6525,-122.087,500000.0,0,0,1,9
5142,5595900280,2015-03-18,3,1,1050,7670,1.5,0.0,5,7,1950_to_1975,98022,47.2046,-121.99600000000001,235000.0,0,0,0,3
7321,7215400280,2015-01-16,3,2,2670,37089,2.0,0.0,3,9,1975_to_1997,98042,47.3347,-122.07700000000001,345000.0,0,0,0,1
14664,923049110,2015-01-29,2,1,1020,7742,1.0,0.0,4,6,pre1950,98168,47.498999999999995,-122.301,168500.0,0,0,0,1
4993,6817801410,2014-06-24,3,2,1230,11413,1.0,0.0,3,7,1975_to_1997,98074,47.6321,-122.03399999999999,400000.0,0,1,0,6
6700,9109000050,2014-07-09,3,1,1200,7800,1.0,0.0,4,7,1950_to_1975,98126,47.5196,-122.37100000000001,275000.0,0,0,0,7
5155,9551201585,2014-07-01,6,3,2630,9420,2.0,0.0,5,9,pre1950,98103,47.6695,-122.337,1300000.0,0,1,0,7
20846,8165500790,2014-12-29,3,2,1690,1200,2.0,0.0,3,8,1997_to_2015,98106,47.5388,-122.367,336900.0,0,1,0,12
6423,847100078,2014-08-18,3,2,1850,14986,2.0,0.0,3,6,pre1950,98059,47.4837,-122.148,330000.0,1,0,0,8
10834,2594200566,2015-04-06,4,2,1820,7200,1.0,0.0,3,7,1975_to_1997,98136,47.5161,-122.38799999999999,548500.0,0,1,0,4
2291,8901000445,2014-12-18,3,2,1600,10440,1.0,0.0,3,7,1950_to_1975,98125,47.7109,-122.311,390000.0,0,0,0,12
11346,7007700030,2015-01-05,3,1,1050,6000,1.0,0.0,3,7,1950_to_1975,98116,47.5709,-122.40100000000001,400000.0,0,0,0,1
9541,7202470100,2014-12-10,3,2,1940,8196,2.0,0.0,3,8,1975_to_1997,98052,47.6786,-122.15100000000001,661000.0,0,0,0,12
3603,3342103148,2015-02-13,5,2,2430,6168,2.0,0.0,3,8,1997_to_2015,98056,47.5237,-122.199,502500.0,0,0,0,2
5094,1725059182,2014-07-01,4,2,3340,10422,2.0,0.0,3,10,1975_to_1997,98033,47.6515,-122.197,1150000.0,0,0,0,7
10614,7749500160,2015-04-09,4,2,1180,8058,1.0,0.0,5,7,1950_to_1975,98092,47.2966,-122.19,220000.0,0,0,0,4
14529,2026049122,2015-04-01,3,2,1120,6653,1.0,0.0,4,7,pre1950,98133,47.7321,-122.334,425000.0,0,0,0,4
17511,5700002285,2014-10-16,4,2,2040,3570,1.0,0.0,4,7,pre1950,98144,47.5754,-122.288,495000.0,0,1,0,10
19570,3204300610,2014-12-02,2,1,950,4560,1.5,0.0,3,7,pre1950,98112,47.6288,-122.3,450000.0,0,0,0,12
1659,5127001600,2014-11-06,4,2,1820,14319,1.0,0.0,4,7,1950_to_1975,98059,47.4757,-122.148,331500.0,0,0,0,11
12331,1598600320,2015-04-16,4,2,1570,9210,1.0,0.0,3,7,1950_to_1975,98030,47.3864,-122.22,339900.0,0,1,1,4
13371,2787000040,2014-10-03,3,2,1870,42070,1.0,0.0,3,7,1950_to_1975,98168,47.50899999999999,-122.31299999999999,285000.0,0,0,0,10
7974,2005600090,2014-05-14,3,1,860,11900,1.0,0.0,4,6,1950_to_1975,98030,47.3574,-122.186,160000.0,0,0,0,5
842,9429500045,2014-05-09,3,1,1620,30736,1.5,0.0,4,7,pre1950,98006,47.5719,-122.119,428750.0,0,0,0,5
2977,2744000100,2014-06-25,3,2,1870,7942,2.0,0.0,3,7,1975_to_1997,98001,47.342,-122.279,299950.0,0,0,0,6
4026,1972205338,2015-04-18,3,4,1450,1091,2.0,0.0,3,8,1997_to_2015,98119,47.6475,-122.359,550000.0,0,1,0,4
19311,3356403400,2014-07-24,3,1,1360,20000,1.0,0.0,4,7,1950_to_1975,98001,47.2861,-122.25299999999999,159000.0,0,0,0,7
7801,2767602855,2015-04-29,5,4,2160,2323,3.0,0.0,3,9,1997_to_2015,98107,47.6726,-122.39,750000.0,0,0,0,4
16737,6099400293,2014-12-08,2,1,960,13438,1.0,0.0,3,7,1950_to_1975,98168,47.4745,-122.295,208000.0,0,0,0,12
2091,8701600510,2015-04-14,2,2,1850,4945,1.5,0.0,4,7,pre1950,98126,47.5742,-122.37899999999999,700000.0,0,0,1,4
17587,3100500065,2014-07-08,5,3,3500,5040,2.0,0.0,3,9,pre1950,98126,47.5527,-122.37899999999999,970000.0,1,1,1,7
9128,7312200040,2014-12-16,4,2,1790,9787,1.0,0.0,4,8,1975_to_1997,98056,47.5344,-122.189,560000.0,0,1,1,12
6367,2163300130,2014-10-01,5,2,2740,12413,2.0,0.0,3,7,1975_to_1997,98031,47.4199,-122.18299999999999,386000.0,0,0,0,10
3063,4473400195,2014-07-16,5,3,2700,3650,2.0,0.0,3,9,pre1950,98144,47.5959,-122.291,950000.0,1,1,1,7
14673,2895200150,2014-10-13,3,2,1410,10625,1.0,0.0,3,7,1975_to_1997,98042,47.3649,-122.117,230000.0,0,0,0,10
8704,6021503885,2014-07-08,2,1,880,4000,1.0,0.0,3,7,pre1950,98117,47.6848,-122.38600000000001,427550.0,0,0,0,7
21214,3629990280,2014-06-23,3,2,1630,3817,2.0,0.0,3,7,1997_to_2015,98029,47.5485,-121.999,497000.0,0,0,0,6
14392,6141600065,2014-10-16,3,2,2160,8114,1.0,0.0,3,8,1950_to_1975,98133,47.7176,-122.35,530000.0,0,1,0,10
12480,7853302520,2015-02-06,4,2,2320,10046,2.0,0.0,3,7,1997_to_2015,98065,47.5406,-121.887,475000.0,0,0,0,2
2633,6791400320,2014-09-23,3,2,1530,14087,1.0,0.0,3,7,1975_to_1997,98042,47.3146,-122.04299999999999,257500.0,0,1,0,9
3297,1337800855,2015-05-12,3,2,2200,2880,2.0,0.0,5,7,pre1950,98112,47.6308,-122.31200000000001,885000.0,0,1,0,5
7155,8965000050,2014-07-29,3,2,1570,10939,1.0,0.0,3,8,1950_to_1975,98052,47.6389,-122.102,515000.0,0,1,0,7
11361,5418500800,2015-04-29,3,2,2510,10418,1.0,0.0,3,8,1950_to_1975,98115,47.7003,-122.285,825000.0,0,1,0,4
17179,4476400275,2015-01-14,3,2,2100,8298,1.0,0.0,4,7,1950_to_1975,98166,47.4601,-122.36,335000.0,0,1,0,1
3220,2420069251,2015-02-25,1,1,520,12981,1.0,0.0,5,3,pre1950,98022,47.2082,-121.995,262000.0,0,0,0,2
5521,1775800290,2014-08-01,3,2,1260,12330,1.0,0.0,3,7,1950_to_1975,98072,47.7412,-122.095,354000.0,0,0,0,8
16185,4218400005,2015-01-30,3,2,2440,9200,1.0,0.0,4,8,pre1950,98105,47.6629,-122.26899999999999,1290000.0,0,0,1,1
10534,8651410240,2015-02-02,3,1,920,5200,1.0,0.0,4,6,1950_to_1975,98042,47.3647,-122.08200000000001,209000.0,0,0,0,2
20790,3831250350,2015-04-08,3,2,2185,6042,2.0,0.0,3,9,1997_to_2015,98030,47.3573,-122.20200000000001,374000.0,0,0,0,4
4100,7230900100,2014-12-15,3,2,1590,11454,1.0,0.0,4,8,1975_to_1997,98056,47.5049,-122.186,417000.0,0,0,0,12
21251,3943600020,2014-08-29,4,2,2398,5988,2.0,0.0,3,8,1997_to_2015,98055,47.452,-122.204,400000.0,0,0,0,8
1236,1630700135,2014-11-19,4,2,1980,23625,2.0,0.0,3,8,pre1950,98072,47.7553,-122.09200000000001,659000.0,0,0,0,11
2900,9320700090,2014-09-11,4,2,2130,9600,1.0,0.0,4,7,1950_to_1975,98031,47.4119,-122.211,305000.0,0,0,0,9
9623,3034200530,2014-06-20,3,1,1430,10005,1.5,0.0,4,7,pre1950,98133,47.7181,-122.338,400000.0,0,0,0,6
9358,1352300315,2014-08-08,2,1,1010,4120,2.0,0.0,3,6,pre1950,98055,47.488,-122.2,219950.0,0,0,0,8
12526,7399000230,2015-01-07,4,2,2260,7500,1.0,0.0,3,8,1950_to_1975,98055,47.4645,-122.196,350000.0,0,1,0,1
14,1175000570,2015-03-12,5,2,1810,4850,1.5,0.0,3,7,pre1950,98107,47.67,-122.39399999999999,530000.0,0,0,0,3
5652,2207200675,2014-05-02,3,2,1570,6700,1.0,0.0,4,7,1950_to_1975,98007,47.6022,-122.134,419000.0,0,0,0,5
4778,2011400019,2014-12-30,5,2,2580,11250,1.0,0.0,3,7,1950_to_1975,98198,47.397,-122.31299999999999,260000.0,0,1,0,12
2792,9808640320,2015-01-02,4,4,3100,2261,2.0,0.0,3,9,1975_to_1997,98033,47.6512,-122.20200000000001,1290000.0,0,1,1,1
13750,4039800180,2014-12-22,4,2,2660,22194,1.0,0.0,4,8,1975_to_1997,98008,47.6142,-122.10700000000001,625000.0,0,1,0,12
2927,7658600025,2014-07-09,3,1,1410,7200,2.0,0.0,4,6,pre1950,98144,47.5924,-122.302,700000.0,0,0,0,7
12459,8944550140,2014-05-19,3,2,2200,3360,2.0,0.0,3,8,1997_to_2015,98118,47.5418,-122.287,433500.0,0,0,0,5
8545,257000038,2014-10-06,4,2,2120,9706,1.0,0.0,3,7,1950_to_1975,98168,47.4939,-122.29700000000001,293550.0,0,1,0,10
5922,1972201856,2014-05-07,2,2,1550,2400,1.5,0.0,4,7,pre1950,98103,47.653999999999996,-122.346,526000.0,0,0,0,5
8398,1726600150,2015-02-26,4,3,3510,12410,2.0,0.0,4,9,1975_to_1997,98005,47.6381,-122.166,970000.0,0,0,0,2
15410,1702900664,2015-04-16,2,2,1730,1037,3.5,0.0,3,8,1997_to_2015,98118,47.5594,-122.285,479000.0,0,0,0,4
12294,2570600140,2015-01-28,3,2,1510,9600,1.0,0.0,1,7,1950_to_1975,98028,47.7758,-122.238,196000.0,0,1,0,1
8819,726059349,2015-03-19,3,2,1970,9135,1.0,0.0,4,7,1950_to_1975,98011,47.7603,-122.215,460000.0,0,1,0,3
10765,1472700200,2014-07-09,3,2,1710,8767,1.0,0.0,4,8,1975_to_1997,98033,47.6945,-122.18799999999999,630000.0,0,0,0,7
18216,3021059175,2015-03-12,4,2,1920,11595,1.0,0.0,4,7,1950_to_1975,98002,47.2858,-122.212,235000.0,0,0,0,3
10915,1823069155,2014-05-05,5,2,2550,71874,1.0,0.0,5,7,1950_to_1975,98027,47.4845,-122.08,525888.0,0,1,0,5
19883,263000253,2015-03-30,3,2,1550,1485,3.0,0.0,3,8,1997_to_2015,98103,47.6989,-122.346,380000.0,0,0,0,3
15176,7744500020,2014-08-26,2,2,1390,12530,1.0,0.0,3,8,1950_to_1975,98155,47.7499,-122.29,431000.0,0,1,0,8
2606,7132300550,2015-02-24,3,1,1210,4000,1.5,0.0,3,7,pre1950,98144,47.5934,-122.30799999999999,450000.0,0,1,0,2
18081,5364200477,2014-06-03,3,1,1030,4958,1.0,0.0,5,7,1950_to_1975,98105,47.6647,-122.277,718000.0,0,0,0,6
14768,8643000210,2015-03-04,5,4,2473,9282,2.0,0.0,5,7,1950_to_1975,98198,47.3966,-122.30799999999999,343000.0,0,0,1,3
16144,4137070440,2014-09-30,5,3,2570,7260,2.0,0.0,3,8,1975_to_1997,98092,47.2622,-122.212,329000.0,0,0,0,9
7038,8965400010,2014-06-06,3,2,2550,13458,2.0,0.0,3,9,1975_to_1997,98006,47.5586,-122.12100000000001,715000.0,0,0,0,6
18128,426069095,2014-10-14,3,2,2070,39768,2.0,0.0,3,8,1975_to_1997,98077,47.7696,-122.036,542950.0,0,0,0,10
8365,6450303950,2014-05-05,5,2,1840,9240,1.0,0.0,4,7,pre1950,98133,47.7308,-122.34,435000.0,0,1,0,5
5012,1140000190,2015-02-06,3,1,1300,9620,1.0,0.0,3,7,1950_to_1975,98003,47.282,-122.331,219950.0,0,0,0,2
12847,3275730120,2014-08-18,4,2,1530,8375,1.0,0.0,3,7,1950_to_1975,98034,47.7174,-122.236,446000.0,0,1,0,8
19189,1133000694,2015-03-12,4,2,1670,9500,1.0,0.0,3,7,1975_to_1997,98125,47.7254,-122.31,325000.0,0,0,0,3
15396,8146100095,2014-05-15,3,1,1230,12305,1.0,0.0,3,7,1950_to_1975,98004,47.6095,-122.195,839000.0,0,0,0,5
20094,475000176,2014-12-22,3,2,1150,1193,2.0,0.0,3,8,1997_to_2015,98107,47.6684,-122.365,436000.0,0,1,0,12
17855,2122059198,2014-08-25,4,2,2370,6000,2.0,0.0,3,8,1997_to_2015,98030,47.3732,-122.179,335000.0,0,0,0,8
19073,8965410150,2014-08-25,4,2,3780,23623,2.0,0.0,3,9,1975_to_1997,98006,47.559,-122.118,962800.0,0,0,0,8
9427,2591720360,2014-12-26,3,2,2750,37096,2.0,0.0,3,9,1975_to_1997,98038,47.3732,-122.023,375000.0,0,0,0,12
11259,4077800376,2014-07-01,5,2,2980,7781,1.0,0.0,3,9,1950_to_1975,98125,47.7048,-122.279,600000.0,0,1,0,7
16231,7217400895,2014-06-09,3,2,1380,3402,1.5,0.0,3,7,pre1950,98122,47.6109,-122.302,550000.0,1,0,0,6
16769,2767604254,2014-06-03,2,2,1140,1182,3.0,0.0,3,8,1997_to_2015,98107,47.6713,-122.383,425000.0,0,0,0,6
15769,7199000290,2014-09-05,4,2,2420,10735,1.5,0.0,3,7,1950_to_1975,98052,47.6899,-122.12200000000001,525000.0,0,0,0,9
19344,7376300085,2015-05-05,3,2,1430,10350,1.0,0.0,3,7,1950_to_1975,98008,47.6353,-122.12299999999999,530000.0,0,0,0,5
3362,6052400625,2015-03-26,4,2,1920,6000,2.0,0.0,3,7,1950_to_1975,98198,47.4029,-122.321,406000.0,0,0,1,3
19869,424049284,2014-10-16,1,2,1120,912,3.0,0.0,3,7,1997_to_2015,98144,47.5924,-122.29899999999999,310000.0,0,0,0,10
1938,4222000320,2015-04-22,3,1,1260,7920,1.0,0.0,3,7,1950_to_1975,98003,47.3452,-122.30799999999999,240000.0,0,0,0,4
9416,7518500985,2014-09-03,4,2,1690,4080,1.5,0.0,4,7,pre1950,98117,47.6825,-122.37899999999999,591500.0,0,1,0,9
15862,2634500050,2014-09-10,2,1,840,7870,1.0,0.0,3,6,pre1950,98155,47.7389,-122.32600000000001,251000.0,0,0,0,9
7931,824069113,2014-09-24,3,2,2290,14585,2.0,0.0,3,8,1975_to_1997,98075,47.5874,-122.074,545000.0,0,0,0,9
4870,686200840,2015-04-22,4,2,2130,7172,2.0,0.0,4,8,1950_to_1975,98008,47.6271,-122.11200000000001,593450.0,0,0,0,4
8206,2144800615,2014-06-25,1,1,930,29258,1.0,0.0,3,6,pre1950,98178,47.4837,-122.236,190000.0,0,0,0,6
20875,2767600673,2014-07-01,3,2,1450,1053,2.0,0.0,3,8,1997_to_2015,98107,47.6754,-122.374,460000.0,0,1,0,7
3877,8025700590,2014-05-19,3,1,970,7275,1.0,0.0,4,7,1950_to_1975,98031,47.4006,-122.18799999999999,215000.0,0,0,0,5
14738,4104900150,2015-04-14,5,4,3060,8862,2.0,0.0,3,8,1975_to_1997,98056,47.5322,-122.185,605000.0,0,0,0,4
19922,2722059322,2014-10-20,4,2,2223,5780,2.0,0.0,3,8,1997_to_2015,98042,47.3586,-122.15700000000001,320000.0,0,0,0,10
19191,3288301010,2014-06-25,4,3,2890,6825,1.0,0.0,3,8,1950_to_1975,98034,47.733999999999995,-122.182,585000.0,0,1,0,6
2884,1994200031,2014-06-20,3,2,1430,3480,1.0,0.0,3,7,pre1950,98103,47.6874,-122.336,450000.0,0,1,0,6
3714,9294300600,2015-04-15,4,3,3010,6139,2.0,0.0,5,8,pre1950,98115,47.6799,-122.26799999999999,1240000.0,0,1,1,4
7704,9808640090,2015-03-19,3,2,2415,2186,2.0,0.0,3,9,1975_to_1997,98033,47.6506,-122.20200000000001,815000.0,0,0,1,3
16657,9250900104,2014-11-10,5,2,2110,8500,1.0,0.0,3,7,1950_to_1975,98133,47.7737,-122.35,300000.0,0,1,0,11
10048,6071200400,2014-11-25,4,2,2010,9075,1.0,0.0,4,8,1950_to_1975,98006,47.553000000000004,-122.182,510000.0,0,1,0,11
5069,2591820080,2014-11-03,4,2,2130,10375,2.0,0.0,4,8,1975_to_1997,98058,47.4381,-122.16,435000.0,0,0,0,11
18616,1337800665,2014-08-11,4,3,2850,4800,2.5,0.0,5,10,pre1950,98112,47.6292,-122.31200000000001,1330000.0,0,0,0,8
3027,825069097,2014-06-19,3,2,2650,40705,2.0,0.0,3,9,1975_to_1997,98053,47.668,-122.06299999999999,770000.0,0,0,0,6
7222,5249802660,2014-07-30,3,1,980,4800,1.5,0.0,3,7,pre1950,98118,47.5663,-122.274,425000.0,0,0,0,7
1216,3751600030,2014-07-17,2,1,770,17334,1.0,0.0,3,7,1975_to_1997,98001,47.2997,-122.26899999999999,100000.0,0,0,0,7
15584,3010300415,2015-02-11,5,2,2280,5750,1.0,0.0,4,8,1950_to_1975,98116,47.5672,-122.39,383000.0,0,1,0,2
11647,7635801370,2014-09-04,3,2,3080,17700,1.0,0.0,4,8,1950_to_1975,98166,47.4695,-122.366,530000.0,0,1,0,9
10575,9573120260,2014-06-10,4,2,2560,9731,2.0,0.0,4,7,1950_to_1975,98034,47.7261,-122.24600000000001,650000.0,0,0,0,6
11818,4022900197,2014-08-08,3,2,1940,16300,1.0,0.0,3,7,1975_to_1997,98155,47.773999999999994,-122.28299999999999,399000.0,0,1,0,8
12027,1217000270,2014-09-16,3,2,1320,9450,1.0,0.0,5,7,pre1950,98166,47.4557,-122.348,338995.0,0,0,0,9
8237,5078400090,2014-12-09,5,3,2580,7630,1.0,0.0,4,7,1950_to_1975,98004,47.6226,-122.205,915000.0,0,1,0,12
5465,3876810190,2014-11-13,4,1,1140,7208,1.0,0.0,3,7,1950_to_1975,98072,47.742,-122.17299999999999,410000.0,0,1,0,11
7511,1320069223,2014-06-24,3,2,1810,100188,1.0,0.0,5,7,1950_to_1975,98022,47.2175,-121.995,358000.0,0,0,0,6
10349,1180000885,2014-10-30,3,2,3070,5871,3.0,0.0,4,8,pre1950,98178,47.5007,-122.223,340500.0,0,1,0,10
7664,3904902430,2015-04-03,3,2,2440,10363,2.0,0.0,3,9,1975_to_1997,98029,47.5634,-122.016,620000.0,0,0,0,4
18283,546000245,2014-07-16,3,2,1380,3031,1.5,0.0,4,7,pre1950,98117,47.6889,-122.38,549900.0,0,0,0,7
8497,1237500540,2014-12-22,3,2,1370,10866,1.0,0.0,4,6,pre1950,98052,47.6774,-122.164,270000.0,0,0,0,12
568,809002765,2014-10-22,3,1,1180,3400,1.5,0.0,3,8,pre1950,98109,47.6376,-122.353,610000.0,0,0,0,10
10753,6117500955,2015-02-04,4,2,2210,10497,1.0,0.0,4,8,1950_to_1975,98166,47.4321,-122.34700000000001,445500.0,0,1,0,2
13852,8651410120,2015-03-18,3,1,1100,5200,1.0,0.0,4,6,1950_to_1975,98042,47.3643,-122.081,225500.0,0,0,0,3
16345,2579500101,2015-04-21,4,4,4010,10880,2.0,0.0,4,11,1975_to_1997,98040,47.5359,-122.213,1390000.0,0,1,1,4
6053,2202500080,2014-06-30,3,1,950,9400,1.0,0.0,4,7,1950_to_1975,98006,47.5746,-122.13600000000001,248000.0,0,0,0,6
20677,8080400136,2014-06-20,3,3,1530,1565,2.0,0.0,3,8,1997_to_2015,98122,47.6179,-122.31200000000001,654000.0,0,1,0,6
8481,421000555,2014-05-20,3,1,1050,5000,1.0,0.0,4,6,1950_to_1975,98056,47.4923,-122.165,200000.0,0,0,0,5
8973,3352400325,2014-07-24,3,2,1220,8345,1.5,0.0,3,7,pre1950,98178,47.5038,-122.266,225000.0,0,0,0,7
19134,7935000450,2014-09-19,3,2,2480,15022,1.0,0.0,3,9,1950_to_1975,98136,47.5497,-122.396,1050000.0,1,1,1,9
